bananaCollected01,bananaCollected02,bananaCollected03,bananaCollected04,bananaCollected05,bananaCollected06,bananaCollected07,bananaCollected08,bananaCollected09,goalReached,playerCrouching,playerSafeFromCamera,playerSafeFromRobot,banana02SafeFromCamera
-0.7171491,-0.9603108,-1,-1,-1,-0.6977273,-0.8877298,-1,-1,-1,-1,1,1,1
-0.7171491,-0.9603108,-1,-1,-1,-0.6977273,-0.8877298,-1,-1,-1,-1,1,1,1
-0.7095333,-0.9574852,-1,-1,-1,-0.6978573,-0.8892991,-1,-1,-1,-1,1,1,1
-0.6501375,-0.9335171,-1,-1,-1,-0.704742,-0.9030802,-1,-1,-1,-1,1,1,1
-0.5653307,-0.8935292,-1,-1,-1,-0.6975139,-0.9080526,-1,-1,-1,-1,1,1,1
-0.4674058,-0.8412316,-1,-1,-1,-0.6963652,-0.9140874,-0.9986105,-1,-1,-1,1,1,1
-0.3845585,-0.7920671,-1,-1,-1,-0.738157,-0.9385649,-0.9981971,-1,-1,-1,1,1,1
-0.3161986,-0.7402616,-1,-1,-1,-0.7831851,-0.9605346,-0.9982479,-1,-1,-1,1,1,1
-0.2182617,-0.6626263,-0.99681,-0.9981337,-1,-0.7873812,-0.9625416,-0.992,-1,-1,-1,1,1,1
1,-0.5785182,-0.9837468,-0.9869794,-1,-0.7933862,-0.9640217,-0.9807047,-1,-1,-1,1,1,1
1,-0.5747226,-0.9829037,-0.9860759,-1,-0.7919832,-0.9633361,-0.9795723,-1,-1,-1,1,1,1
1,-0.5747226,-0.9829037,-0.9860759,-1,-0.7919832,-0.9633361,-0.9795723,-1,-1,-1,1,1,1
1,-0.580005,-0.9840578,-0.9872752,-1,-0.7934486,-0.9640781,-0.9809971,-1,-1,-1,1,1,1
1,-0.6251519,-0.9923601,-0.995904,-1,-0.820558,-0.9755858,-0.9932855,-1,-1,-1,1,1,1
1,-0.6530849,-0.9959584,-0.9985632,-1,-0.8274799,-0.9782892,-0.9966207,-1,-1,-1,1,1,1
1,-0.6562136,-0.9962958,-0.9987788,-1,-0.8283134,-0.9785994,-0.9969282,-1,-1,-1,1,1,1
1,-0.6562136,-0.9962958,-0.9987788,-1,-0.8283134,-0.9785994,-0.9969282,-1,-1,-1,1,1,1
1,-0.6562136,-0.9962958,-0.9987788,-1,-0.8283134,-0.9785994,-0.9969282,-1,-1,-1,1,1,-1
1,-0.6562136,-0.9962958,-0.9987788,-1,-0.8283134,-0.9785994,-0.9969282,-1,-1,-1,1,1,-1
1,-0.6562136,-0.9962958,-0.9987788,-1,-0.8283134,-0.9785994,-0.9969282,-1,-1,-1,1,1,-1
1,-0.6562136,-0.9962958,-0.9987788,-1,-0.8283134,-0.9785994,-0.9969282,-1,-1,-1,1,1,-1
1,-0.6562136,-0.9962958,-0.9987788,-1,-0.8283134,-0.9785994,-0.9969282,-1,-1,-1,1,1,-1
1,-0.6527072,-0.995912,-0.9986228,-1,-0.8310335,-0.9795493,-0.9969751,-1,-1,-1,1,1,-1
1,-0.5914492,-0.9865492,-0.9935796,-1,-0.8566096,-0.9875189,-0.9955997,-1,-1,-1,1,1,-1
1,-0.5020276,-0.9654552,-0.9791461,-1,-0.8735667,-0.9914982,-0.990175,-1,-1,-1,1,1,-1
1,-0.4013536,-0.9335544,-0.9534077,-0.9997026,-0.8824602,-0.992663,-0.9789686,-1,-1,-1,1,1,-1
1,-0.305252,-0.8938857,-0.9213379,-0.994679,-0.8997973,-0.9955664,-0.9684505,-1,-0.9957324,-1,1,1,1
1,-0.279858,-0.8812875,-0.9112859,-0.9923582,-0.9055368,-0.9964558,-0.9658032,-1,-0.9926737,-1,1,1,1
1,-0.2747136,-0.8782342,-0.9094803,-0.9920794,-0.9084129,-0.9969577,-0.9661555,-1,-0.9918737,1,1,1,1
1,-0.2613218,-0.868734,-0.904541,-0.9915243,-0.918236,-0.9984515,-0.9681284,-1,-0.9892231,1,1,1,1
1,-0.2425012,-0.8556184,-0.895291,-0.9894296,-0.9252722,-0.9991814,-0.9672163,-1,-0.9849623,1,1,1,1
1,1,-0.8424913,-0.8864154,-0.9874094,-0.9323256,-0.9997075,-0.9668273,-1,-0.9802398,1,1,1,1
1,1,-0.8279706,-0.8759068,-0.9846545,-0.938234,-0.9999435,-0.9655209,-1,-0.9744754,1,1,1,1
1,1,-0.8128914,-0.8648071,-0.9815293,-0.9435841,-1,-0.9640012,-1,-0.9679857,1,1,1,1
1,1,-0.7968978,-0.8529442,-0.9780005,-0.9486915,-1,-0.9623644,-1,-0.9606097,1,1,1,1
1,1,-0.7804317,-0.8393803,-0.9733464,-0.9520821,-1,-0.959255,-1,-0.9524435,1,1,1,1
1,1,-0.7732093,-0.8338969,-0.9715495,-0.9540303,-1,-0.9584633,-1,-0.9487589,1,1,1,1
1,1,-0.7687868,-0.8304865,-0.9704015,-0.9551408,-1,-0.9579297,-1,-0.9464593,1,1,1,1
1,1,-0.7687868,-0.8304865,-0.9704015,-0.9551408,-1,-0.9579297,-1,-0.9464593,1,1,1,1
1,1,-0.7687868,-0.8304865,-0.9704015,-0.9551408,-1,-0.9579297,-1,-0.9464593,1,-1,1,1
1,1,-0.7687868,-0.8304865,-0.9704015,-0.9551408,-1,-0.9579297,-1,-0.9464593,1,-1,1,1
1,1,-0.7687868,-0.8304865,-0.9704015,-0.9551408,-1,-0.9579297,-1,-0.9464593,1,-1,1,-1
1,1,-0.7687868,-0.8304865,-0.9704015,-0.9551408,-1,-0.9579297,-1,-0.9464593,1,-1,1,-1
1,1,-0.7687868,-0.8304865,-0.9704015,-0.9551408,-1,-0.9579297,-1,-0.9464593,1,-1,1,-1
1,1,-0.7687868,-0.8304865,-0.9704015,-0.9551408,-1,-0.9579297,-1,-0.9464593,1,-1,1,-1
1,1,-0.7687868,-0.8304865,-0.9704015,-0.9551408,-1,-0.9579297,-1,-0.9464593,1,-1,1,-1
1,1,-0.7687868,-0.8304865,-0.9704015,-0.9551408,-1,-0.9579297,-1,-0.9464593,1,-1,1,-1
1,1,-0.7670814,-0.8294905,-0.9701662,-0.9558747,-1,-0.9580742,-1,-0.9455906,1,-1,1,-1
1,1,-0.7542018,-0.8219186,-0.9683242,-0.9610404,-1,-0.9590435,-1,-0.9388899,1,1,1,-1
1,1,-0.7366793,-0.8103251,-0.9648782,-0.9662234,-1,-0.9589165,-1,-0.9293126,1,1,1,-1
1,1,-0.6950181,-0.7821227,-0.9558552,-0.975926,-1,-0.9578887,-1,-0.9050152,-1,1,1,1
1,1,-0.6202714,-0.7245432,-0.9336088,-0.9856241,-1,-0.9505674,-0.9991889,-0.8565136,-1,1,1,1
1,1,-0.5425661,-0.646979,-0.8964358,-0.9897359,-1,-0.9324686,-0.9925106,-0.7987736,-1,1,1,1
