bananaCollected01,bananaCollected02,bananaCollected03,bananaCollected04,bananaCollected05,bananaCollected06,bananaCollected07,bananaCollected08,bananaCollected09,goalReached,playerCrouching,playerSafeFromCamera,playerSafeFromRobot,banana02SafeFromCamera
-0.7172329,-0.9603518,-1,-1,-1,-0.6981077,-0.8879641,-1,-1,-1,-1,1,1,1
-0.7172329,-0.9603518,-1,-1,-1,-0.6981077,-0.8879641,-1,-1,-1,-1,1,1,1
-0.7172329,-0.9603518,-1,-1,-1,-0.6981077,-0.8879641,-1,-1,-1,-1,1,1,1
-0.7145252,-0.9593304,-1,-1,-1,-0.6972454,-0.8879319,-1,-1,-1,-1,1,1,1
-0.5769284,-0.8973341,-1,-1,-1,-0.6508968,-0.8799286,-0.9994146,-1,-1,-1,1,1,1
-0.4837567,-0.8471068,-1,-1,-1,-0.6433955,-0.8839663,-0.995057,-1,-1,-1,1,1,1
-0.3864335,-0.791016,-1,-1,-1,-0.6701342,-0.9033858,-0.9909061,-1,-1,-1,1,1,-1
-0.305559,-0.7414416,-1,-1,-1,-0.7304271,-0.9361188,-0.9927838,-1,-1,-1,1,1,-1
-0.2197162,-0.6706005,-0.9974605,-0.9983101,-1,-0.7734911,-0.9565354,-0.9906172,-1,-1,-1,1,1,-1
1,-0.5959929,-0.9865254,-0.98785,-1,-0.7684547,-0.9531787,-0.9766224,-1,-1,-1,1,1,-1
1,-0.5846497,-0.9839346,-0.9847631,-1,-0.7624792,-0.9500432,-0.9719673,-1,-1,-1,1,1,-1
1,-0.5961038,-0.9873806,-0.9908393,-1,-0.801384,-0.967706,-0.9858012,-1,-1,-1,1,1,-1
1,-0.6050124,-0.9889841,-0.995167,-1,-0.8554325,-0.9872596,-0.9964427,-1,-1,-1,1,1,-1
1,-0.588446,-0.9840637,-0.9948636,-1,-0.9027363,-0.9980101,-0.9995944,-1,-1,-1,1,1,-1
1,-0.5073427,-0.962411,-0.9825925,-1,-0.9173077,-0.9994463,-0.9977151,-1,-1,-1,1,1,-1
1,-0.4104511,-0.9337833,-0.9587023,-1,-0.9054603,-0.9976024,-0.98742,-1,-1,-1,1,1,1
1,-0.3196342,-0.8925583,-0.9293703,-0.9978767,-0.9256133,-0.99957,-0.9814501,-1,-0.9957969,-1,1,1,1
1,1,-0.8412377,-0.891764,-0.9904384,-0.943647,-1,-0.9744267,-1,-0.9801252,-1,1,1,1
1,1,-0.7811819,-0.8468568,-0.9778354,-0.9593132,-1,-0.9668493,-1,-0.953308,-1,1,1,1
1,1,-0.7109009,-0.7899244,-0.9573731,-0.9706305,-1,-0.9555224,-1,-0.914282,-1,-1,1,1
1,1,-0.6320552,-0.7327752,-0.9366354,-0.9839772,-1,-0.9509438,-0.9994209,-0.8644267,-1,-1,1,1
1,1,-0.5424266,-0.669673,-0.9124795,-0.993738,-1,-0.9478812,-0.9966899,-0.8013796,-1,-1,1,1
1,1,-0.4517716,-0.5924355,-0.8772861,-0.997905,-1,-0.9380072,-0.9891735,-0.7294639,-1,-1,1,1
1,1,-0.3808284,-0.5007297,-0.8282202,-0.9992163,-1,-0.91923,-0.9733953,-0.6590196,-1,1,1,1
1,1,-0.3399916,-0.402749,-0.7712753,-0.9999152,-1,-0.8993554,-0.9505954,-0.5904146,-1,1,1,1
1,1,-0.3403847,-0.3041703,-0.708845,-1,-1,-0.8817979,-0.922139,-0.5253778,-1,1,1,1
1,1,-0.3822399,-0.2214914,-0.6433259,-1,-1,-0.8680432,-0.8892797,-0.4712633,-1,1,1,1
1,1,-0.4093086,1,-0.6130145,-1,-1,-0.8710983,-0.8740997,-0.4274686,-1,1,1,1
1,1,-0.3221076,1,-0.6843719,-1,-1,-0.8999006,-0.9138768,-0.4127571,-1,1,1,1
1,1,-0.2332062,1,-0.7581464,-1,-1,-0.9319005,-0.9505323,-0.4159549,-1,1,1,1
1,1,1,1,-0.7897643,-1,-1,-0.9481869,-0.9646705,-0.4088928,-1,1,1,1
1,1,1,1,-0.785414,-1,-1,-0.9548772,-0.9636477,-0.3445305,-1,1,1,1
1,1,1,1,-0.782025,-1,-1,-0.9605734,-0.9626447,-0.2822716,-1,1,1,1
1,1,1,1,-0.7817549,-1,-1,-0.9613009,-0.9625617,-0.2742572,-1,1,1,1
1,1,1,1,-0.7817527,-1,-1,-0.9613074,-0.962561,-0.2741853,-1,1,1,1
1,1,1,1,-0.7639175,-1,-1,-0.9554659,-0.9548537,-0.2653672,-1,1,1,1
1,1,1,1,-0.7457125,-1,-1,-0.9535528,-0.9465784,-0.2243166,-1,1,1,1
1,1,1,1,-0.7400634,-1,-1,-0.9577401,-0.9436361,-0.1685648,-1,1,1,1
1,1,1,1,-0.734262,-1,-1,-0.9614903,-0.9401327,-0.1171558,-1,1,1,1
1,1,1,1,-0.731844,-1,-1,-0.9620212,-0.9387006,-0.1070883,-1,1,1,1
